2 1 0 0 1 0 10 10 0 0 
1 1 0 0.00142113 1 0 9.99859 9.99859 0.367982 0 
1 1 0 0.00284208 1 0 9.99719 9.99719 0.368085 0 
1 1 0 0.00568337 1 0 9.99437 9.99437 0.36829 0 
1 1 0 0.0113636 1 0 9.98874 9.98874 0.368701 0 
1 1 0 0.0184596 1 0 9.98169 9.98169 0.369216 0 
1 1 0 0.0255506 1 0 9.97464 9.97464 0.369731 0 
1 1 0 0.0326368 1 0 9.96758 9.96758 0.370248 0 
1 1 0 0.039718 1 0 9.96052 9.96052 0.370766 0 
1 1 0 0.0467943 1 0 9.95346 9.95346 0.371285 0 
1 1 0 0.0538657 1 0 9.94639 9.94639 0.371805 0 
1 1 0 0.0609321 1 0 9.93931 9.93931 0.372327 0 
1 1 0 0.0679936 1 0 9.93223 9.93223 0.372849 0 
1 1 0 0.07505 1 0 9.92514 9.92514 0.373372 0 
1 1 0 0.0821015 1 0 9.91805 9.91805 0.373897 0 
1 1 0 0.089148 1 0 9.91096 9.91096 0.374422 0 
1 1 0 0.0961894 1 0 9.90386 9.90386 0.374949 0 
1 1 0 0.103226 1 0 9.89675 9.89675 0.375477 0 
1 1 0 0.110257 1 0 9.88964 9.88964 0.376005 0 
1 1 0 0.117283 1 0 9.88253 9.88253 0.376535 0 
1 1 0 0.124305 1 0 9.8754 9.8754 0.377066 0 
1 1 0 0.131321 1 0 9.86828 9.86828 0.377599 0 
1 1 0 0.138332 1 0 9.86115 9.86115 0.378132 0 
1 1 0 0.145338 1 0 9.85401 9.85401 0.378666 0 
1 1 0 0.152338 1 0 9.84687 9.84687 0.379202 0 
1 1 0 0.159334 1 0 9.83973 9.83973 0.379738 0 
1 1 0 0.166324 1 0 9.83258 9.83258 0.380276 0 
1 1 0 0.173309 1 0 9.82542 9.82542 0.380815 0 
1 1 0 0.180289 1 0 9.81826 9.81826 0.381355 0 
1 1 0 0.187264 1 0 9.81109 9.81109 0.381896 0 
1 1 0 0.194234 1 0 9.80392 9.80392 0.382438 0 
1 1 0 0.201198 1 0 9.79675 9.79675 0.382982 0 
