"timeindex"	"ar1"	"sd"
7578	0.99605478270777	0.0013076592689231
7579	0.996057512692007	0.00130770887092604
7580	0.996061223169104	0.00130775871537946
7581	0.996066508057056	0.00130781814199285
7582	0.996070567731146	0.00130788205505702
7583	0.996073841272274	0.00130794794117876
7584	0.996073678484221	0.00130801300896988
7585	0.996077205557298	0.00130808113262229
7586	0.996046143583781	0.00130811454951151
7587	0.996058316847698	0.00130816781044658
7588	0.996054292799847	0.00130821448903567
7589	0.996043198892219	0.00130825071408949
7590	0.996050624260799	0.00130828376569346
7591	0.996064378717419	0.0013083363763202
7592	0.996055862909811	0.0013083904948179
7593	0.996039005715907	0.00130841964613721
7594	0.996032345748142	0.00130843609097981
7595	0.996036637799237	0.00130844361852973
7596	0.996035893079575	0.00130845593279085
7597	0.996036736805157	0.00130847452652978
7598	0.996036412060067	0.0013084861981133
7599	0.99602341783459	0.00130849659472111
7600	0.996029844265215	0.00130849387054437
7601	0.996023104284316	0.00130849695376455
7602	0.996011376382212	0.0013084780320743
7603	0.99599642158363	0.00130844303226055
7604	0.995990736584842	0.00130840298393907
7605	0.99598052817012	0.00130835922367842
7606	0.995975704943798	0.00130830567824536
7607	0.995970200688682	0.00130823705215737
7608	0.995963953920456	0.00130816722924182
7609	0.995968801298622	0.00130808907478103
7610	0.995972316611366	0.00130802560497689
7611	0.995971127612361	0.00130795339781429
7612	0.995952734448569	0.00130788003286516
7613	0.995943212070983	0.00130779360660285
7614	0.995926625334968	0.00130768667841538
7615	0.995911618053652	0.00130756244748519
7616	0.995903249506554	0.00130742028205501
7617	0.995868151473704	0.00130726809322771
7618	0.995826709457364	0.00130707709328562
7619	0.995818162534767	0.00130682601660671
7620	0.995802759406856	0.00130656199264927
7621	0.995782133164432	0.00130627886347097
7622	0.995765958216647	0.0013059742211797
7623	0.995761032071	0.00130565275899398
7624	0.995744343334989	0.00130533248436046
7625	0.995760328046977	0.00130498915639465
7626	0.995776810200247	0.00130467589111699
7627	0.995787609124423	0.00130438239688195
7628	0.995778584081983	0.0013040992139518
7629	0.995822193947739	0.00130381218748941
7630	0.995832074777341	0.00130358036688776
7631	0.99586971765387	0.00130336644388165
7632	0.995850409152371	0.00130320088038807
7633	0.995869339462808	0.00130301015389006
7634	0.995879231687647	0.00130284521417714
7635	0.99588577804288	0.0013026937251344
7636	0.995865636095226	0.00130255509336561
7637	0.995907164577801	0.00130238834846754
7638	0.995910311747915	0.00130227332056518
7639	0.99592656632675	0.00130216417884724
7640	0.995953449880909	0.0013020771186477
7641	0.995967509251909	0.00130202368919597
7642	0.995965028836912	0.00130198482961761
7643	0.995977265893731	0.00130194768859631
7644	0.996002537985993	0.00130193455990562
7645	0.996006775078334	0.00130194362386589
7646	0.996010781444602	0.00130195798738082
7647	0.996017401795604	0.00130198148819545
7648	0.996021691589157	0.00130200732581438
7649	0.996025792696978	0.00130204113366512
7650	0.99602537017771	0.00130207388735725
7651	0.996028063703634	0.00130210953506432
7652	0.996022098249402	0.00130213764855877
7653	0.996023265389179	0.00130216642922464
7654	0.996008464989806	0.00130217939202693
7655	0.996016528075254	0.00130220339197217
7656	0.996014151050192	0.00130222402190276
7657	0.996016600149041	0.00130224813966007
7658	0.996028354772444	0.00130229181003049
7659	0.996039284131577	0.00130234380891125
7660	0.996041901998687	0.00130240052725476
7661	0.996042887812683	0.00130245869863086
7662	0.996038730218707	0.00130251262406855
7663	0.996044077769136	0.00130257176029168
7664	0.996031974937742	0.00130260957397749
7665	0.996041173738844	0.00130266325578825
7666	0.99605309464627	0.00130273345762241
7667	0.996036173741575	0.00130278462392069
7668	0.996043755370018	0.00130284219994111
7669	0.996028434185726	0.00130288658981171
7670	0.996020899284284	0.00130291003417947
7671	0.996014932563215	0.00130293198325885
7672	0.996004142051888	0.00130295301375577
7673	0.996015222032876	0.00130294614325855
7674	0.996014306515218	0.00130295848978617
7675	0.995999913516995	0.00130295152211296
7676	0.995994877300505	0.00130294258628405
7677	0.995997615535314	0.00130293374119882
7678	0.995980285176936	0.00130291103194309
7679	0.995977739319839	0.00130286789375933
7680	0.995970466035094	0.00130282462246444
7681	0.9959677111696	0.00130278225362291
7682	0.995957071357777	0.00130273960744584
7683	0.99595569609327	0.00130267813934479
7684	0.995938191453454	0.00130262059397917
7685	0.995953215589728	0.00130254061552844
7686	0.995966601313917	0.0013024750806277
7687	0.995970970395125	0.00130242492299192
7688	0.995978703592007	0.00130238519783365
7689	0.995985154890507	0.00130235522686548
7690	0.995983538736565	0.00130233392777466
7691	0.995983338703625	0.00130231040028171
7692	0.995977639689192	0.00130228733928165
7693	0.995973208789451	0.00130225635893861
7694	0.995972737727458	0.00130222003298807
7695	0.995977114830346	0.00130218409816383
7696	0.995977543272552	0.001302155636329
7697	0.995987009188639	0.00130212744482709
7698	0.995988208793082	0.00130210864222739
7699	0.995986378114726	0.00130209321377622
7700	0.99598647742813	0.00130207489851177
7701	0.995985655942187	0.00130205906575494
7702	0.995983222349859	0.00130203972940457
7703	0.995988853842198	0.00130202000529577
7704	0.995991375080657	0.00130200718034019
7705	0.995993594641292	0.0013019982975965
7706	0.995985876527159	0.0013019901847307
7707	0.995983504968809	0.00130197662008556
7708	0.995987349378816	0.00130196232325431
7709	0.995973042908861	0.00130194488775832
7710	0.995966512428468	0.0013019131627858
7711	0.99596924641857	0.00130187606126627
7712	0.995967133241057	0.00130184216915211
7713	0.995961034237527	0.00130180239049
7714	0.995960627076826	0.00130175694306694
7715	0.995943433138694	0.00130171057326232
7716	0.995920662288016	0.00130164127436307
7717	0.995923646274749	0.00130154115848082
7718	0.995922907767206	0.0013014464284137
7719	0.995918403084757	0.00130135172778282
7720	0.995913296088058	0.00130125696755339
7721	0.995892585955583	0.0013011564492432
7722	0.995883234038905	0.00130102757032457
7723	0.995880085334766	0.00130088912877694
7724	0.99589026679514	0.00130073661523773
7725	0.995870270956928	0.00130060808284975
7726	0.995885464315864	0.00130045056174372
7727	0.995866700329014	0.00130032037020843
7728	0.995822644862375	0.00130016654609956
7729	0.995807071578657	0.00129995113322525
7730	0.99578375583951	0.00129969207795369
7731	0.99580790937669	0.00129942479828606
7732	0.995782792949435	0.00129918165359179
7733	0.995775893056472	0.00129891695297504
7734	0.995768155448525	0.00129865320632308
7735	0.995756679256522	0.00129837626951007
7736	0.995784968367459	0.00129809170946138
7737	0.995778652802305	0.00129783486896201
